gene_id	phastCons_mean
ACYP1	0.147061357622007
CYS1	0.0434149233505548
TAC4	0.0530587023686921
C18orf21	0.114660864345738
C18orf21	0.114660864345738
NT5E	0.0613451924949684
SEPTIN10	0.077859742303531
PTPRZ1	0.0936217750176048
RAB11A	0.196470640529848
RNF170	NA
PMFBP1	0.149283103739106
DAZAP2	0.381444509688785
MDK	0.262140871177016
MDK	0.201702127659575
AKAP13	0.0705841897844064
BCL2L13	NA
BCL2L13	NA
BCL2L13	0.0839538823918344
BCL2L13	NA
DDX31	0.124027121109784
PUF60	0.20033916596007
CHST15	NA
GZMH	0.0601808543810415
STRIP1	0.145057660626029
SYT6	0.112995662949194
TFAM	0.101973170558592
CRIP2	0.112558487740969
CRIP2	0.0862723368887658
TFPI2	0.108863593954096
TRAPPC6A	0.0382791062328499
HAUS6	0.0897638902843359
GNPDA2	0.114286864457952
MPC1	0.0673510154255909
GNPDA2	0.114286864457952
MEAF6	0.139529165154996
MEAF6	0.139709384460141
C9orf153	0.0778753145093654
WDR86-AS1	0.0775662464625675
SNHG8	0.152963311382879
TCP11	0.0921811229969497
FENDRR	0.0543233246934794
LINC01433	0.0248167539267016
WDR86-AS1	0.0775662464625675
RAD51C	0.143433075259817
RASGRP3-AS1	NA
SRSF1	0.525991600559963
SORD	0.127570751222403
LNCOG	NA
MIR320E	0.00422535211267606
MIR3188	0.0372093023255814
FUBP1	0.243153716553871
COMMD4P1	0.115673289183223
TBILA	0.0157894736842105
CRLF2	NA
PRMT7	0.0916559718920282
LCORL	0.144352383798801
FANCL	NA
LCORL	0.144352383798801
SLC25A39	0.17479314989417
ZNF160	0.0624898158709466
TRAPPC3	0.1280914497567
TRAPPC6A	0.0382791062328499
CENPX	0.049724682786689
TRAPPC3	0.130981217284204
TFPI2	0.108863593954096
LCORL	0.133412607409297
LCORL	0.144352383798801
LCORL	0.144352383798801
LCORL	0.144352383798801
WDR27	0.0693163764973027
MIR6731	0.13972602739726
MIR4425	0.0105882352941176
VIPR1	0.0626191068025519
SLC22A23	NA
SLMAP	NA
ACSF2	0.237097269100951
SLMAP	NA
CLASP1	NA
CLASP1	NA
ZNF25	0.081614714137982
ZNF25	0.081614714137982
TCP11	0.0922204074615317
PDPK1	0.0636805843269038
SF1	0.453242932988951
CMC2	NA
SETDB1	NA
CLASP1	NA
ANK1	0.16756285785412
TRIM77	0.0258745874587458
FNBP4	0.118556903773919
CCDC157	0.0829184549356224
CCDC157	0.0972110108385105
MRPL39	0.0758006139185413
SIRPA	0.103245223763412
COL13A1	0.0731480539302985
LOC646471	0.0654898741105637
MAPT	0.0607911437349101
EZH2	NA
CENPX	0.049724682786689
NT5C2	NA
NT5C2	NA
MIR3917	0.773404255319149
RNF225	0.149646821392533
TSTD3	0.105784442979565
PRSS56	0.192700319009195
C16orf95	0.0634351877226638
KIF26A	NA
CFAP91	0.104793857869605
DEPDC4	0.0959809467103303
IMP4	0.187103135476237
DEPDC4	0.103702712348323
ABLIM1	0.0791290460632757
ADCY3	0.07259298103276
ADCY3	0.07259298103276
SSBP1	0.0696523954310133
HABP4	0.0695766231873497
DNAJC8	0.0961742794333167
PACS1	0.0985109529213527
GPATCH2L	0.134327090976083
DENND4C	NA
GPATCH1	0.0871806818872434
NTAQ1	0.0766648343018689
C14orf119	0.142095699576015
YEATS2	NA
MARCHF1	NA
SHLD2	0.0881052555032676
SHLD2	0.0881052555032676
SHLD2	0.0881052555032676
SHLD2	0.0881052555032676
RNF216	0.0689712779517138
GABRA2	NA
GABRA2	NA
LOC101928728	0.541970310391363
GABRA1	0.143610504957696
YIF1B	0.0965068717277487
COA1	NA
XPNPEP1	0.101792431953972
PTPN20	NA
PTPN20	NA
PTAR1	0.11789406964307
C2orf74	NA
C2orf74	NA
C2orf74	NA
CDKL1	0.0854369344492118
CDKL1	0.0851296562209645
PTAR1	0.11789406964307
PTAR1	0.11789406964307
CACNB2	NA
ACTG1P20	0.423482849604222
CALM3	0.199242424242424
VPS26C	0.0496397404341015
CALM3	0.198125643666323
VPS26C	0.0496397404341015
RO60	0.118953462621405
UNC13C	NA
VSIG2	0.188219706094917
VPS26C	0.0496397404341015
PNO1	NA
SLC25A14	0.200873205741627
SIGMAR1	0.333778937072058
PCYT2	0.119864957432234
RNASE4	NA
PCYT2	0.119864957432234
LINC02574	0.0769198664440734
ZDHHC6	0.143560674224701
CDK20	0.13590409096527
CT47A2	0.11210843373494
SCARNA1	0.880239520958084
HOXD8	0.624933155080214
PEG3	0.0894273127753304
PEG3	0.0894273127753304
MAP2	0.100113846362237
MAP2	0.100113846362237
CYP4X1	0.102022891747374
IFT27	0.0693690675600224
LAMP5	0.121066303809995
PDK2	0.0805370336997658
TP53I11	0.0596729957805909
MICA	0.0803436943721758
CDH18	NA
CDH18	NA
ABI2	NA
DNAJC8	0.0961742794333167
DTNB	NA
ALG9	0.113442115186067
ALG9	0.113442115186067
DOK7	0.0406831159306407
EHBP1	NA
EHBP1	NA
